iter	Passed	Remaining
1098	15373	12603
1099	15386	12588
1100	15399	12574
1101	15412	12559
1102	15425	12544
1103	15438	12529
1104	15451	12515
1105	15464	12500
1106	15478	12485
1107	15490	12471
1108	15504	12456
1109	15521	12445
1110	15536	12431
1111	15551	12418
1112	15564	12403
1113	15576	12388
1114	15590	12374
1115	15603	12359
1116	15617	12345
1117	15630	12331
1118	15643	12315
1119	15655	12300
1120	15669	12286
1121	15682	12272
1122	15697	12258
1123	15712	12245
1124	15726	12231
1125	15739	12216
1126	15752	12202
1127	15765	12187
1128	15778	12172
1129	15791	12158
1130	15805	12143
1131	15817	12128
1132	15830	12113
1133	15843	12099
1134	15856	12084
1135	15872	12072
1136	15886	12058
1137	15900	12043
1138	15913	12029
1139	15926	12014
1140	15940	12001
1141	15954	11986
1142	15967	11972
1143	15980	11957
1144	15994	11943
1145	16007	11929
1146	16021	11914
1147	16034	11899
1148	16047	11885
1149	16062	11872
1150	16076	11858
1151	16090	11844
1152	16104	11830
1153	16117	11815
1154	16130	11801
1155	16143	11786
1156	16156	11771
1157	16169	11757
1158	16182	11742
1159	16195	11727
1160	16208	11712
1161	16221	11698
1162	16236	11685
1163	16250	11671
1164	16265	11657
1165	16278	11643
1166	16292	11629
1167	16306	11615
1168	16321	11602
1169	16334	11588
1170	16348	11574
1171	16362	11559
1172	16375	11545
1173	16389	11531
1174	16401	11516
1175	16414	11501
1176	16428	11487
1177	16444	11474
1178	16457	11460
1179	16470	11445
1180	16483	11430
1181	16496	11416
1182	16509	11402
1183	16523	11387
1184	16535	11372
1185	16548	11358
1186	16561	11343
1187	16578	11331
1188	16592	11317
1189	16609	11305
1190	16624	11292
1191	16638	11278
1192	16653	11265
1193	16669	11252
1194	16683	11238
1195	16696	11224
1196	16711	11210
1197	16724	11196
1198	16741	11184
1199	16755	11170
1200	16768	11155
1201	16783	11142
1202	16800	11130
1203	16815	11116
1204	16827	11102
1205	16840	11087
1206	16853	11072
1207	16866	11058
1208	16880	11044
1209	16894	11030
1210	16907	11015
1211	16920	11001
1212	16933	10986
1213	16946	10972
1214	16959	10957
1215	16974	10944
1216	16989	10931
1217	17003	10916
1218	17016	10902
1219	17029	10887
1220	17043	10873
1221	17056	10858
1222	17069	10844
1223	17081	10829
1224	17095	10815
1225	17108	10801
1226	17122	10786
1227	17135	10772
1228	17150	10759
1229	17164	10745
1230	17178	10731
1231	17191	10716
1232	17204	10702
1233	17217	10687
1234	17230	10673
1235	17243	10658
1236	17259	10645
1237	17273	10631
1238	17286	10617
1239	17299	10602
1240	17311	10587
1241	17324	10573
1242	17339	10560
1243	17354	10546
1244	17368	10532
1245	17381	10518
1246	17394	10503
1247	17407	10489
1248	17421	10475
1249	17433	10460
1250	17447	10446
1251	17460	10431
1252	17473	10417
1253	17486	10402
1254	17500	10389
1255	17516	10375
1256	17532	10363
1257	17546	10349
1258	17559	10335
1259	17573	10320
1260	17586	10306
1261	17599	10291
1262	17612	10277
1263	17626	10263
1264	17638	10248
1265	17651	10234
1266	17664	10219
1267	17678	10205
1268	17693	10192
1269	17707	10178
1270	17721	10164
